name,calories,protein,carbs,fat,portions,meal_type,photo_path,description,ingredients,is_community
Cottage Cheese Chocolate Berry Cup,240,25,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/cottage_cheese_chocolate_berry_cup.jpg,Blend cottage cheese with cocoa and vanilla. Top with raspberries and chocolate.,"[{""name"": ""cottage cheese"", ""quantity"": ""180 g""}, {""name"": ""raspberries"", ""quantity"": ""80 g""}, {""name"": ""cocoa"", ""quantity"": ""5 g""}, {""name"": ""dark chocolate"", ""quantity"": ""10 g""}, {""name"": ""vanilla"", ""quantity"": """"}]",true
Strawberry Skyr Smoothie,250,25,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/strawberry_skyr_smoothie.jpg,Blend everything until smooth.,"[{""name"": ""skyr"", ""quantity"": ""150 g""}, {""name"": ""semi-skimmed milk"", ""quantity"": ""200 ml""}, {""name"": ""strawberries"", ""quantity"": ""150 g""}, {""name"": ""ice"", ""quantity"": """"}, {""name"": ""vanilla"", ""quantity"": """"}]",true
Café Latte with Extra Milk,160,12,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/cafe_latte_with_extra_milk.jpg,Steam or heat milk. Combine with espresso. Dust with cinnamon.,"[{""name"": ""semi-skimmed milk"", ""quantity"": ""250 ml""}, {""name"": ""espresso"", ""quantity"": ""100 ml""}, {""name"": ""cinnamon"", ""quantity"": """"}]",true
Vanilla Banana Skyr Shake,300,25,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/vanilla_banana_skyr_shake.jpg,Blend until completely smooth.,"[{""name"": ""skyr"", ""quantity"": ""150 g""}, {""name"": ""milk"", ""quantity"": ""200 ml""}, {""name"": ""small banana"", ""quantity"": ""1 piece""}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""ice"", ""quantity"": """"}]",true
Raspberry Yogurt Lassi,250,21,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/raspberry_yogurt_lassi.jpg,Blend until smooth and slightly frothy.,"[{""name"": ""greek yogurt"", ""quantity"": ""200 g""}, {""name"": ""raspberries"", ""quantity"": ""150 g""}, {""name"": ""water"", ""quantity"": ""150 ml""}, {""name"": ""honey"", ""quantity"": ""1 tsp""}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""ice"", ""quantity"": """"}]",true
Chocolate Skyr Milkshake,300,25,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chocolate_skyr_milkshake.jpg,Blend until thick and smooth.,"[{""name"": ""skyr"", ""quantity"": ""150 g""}, {""name"": ""milk"", ""quantity"": ""200 ml""}, {""name"": ""cocoa"", ""quantity"": ""10 g""}, {""name"": ""small banana"", ""quantity"": ""1 piece""}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""ice"", ""quantity"": """"}]",true
Apple-Cinnamon Yogurt Smoothie,270,23,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/apple_cinnamon_yogurt_smoothie.jpg,Blend everything until smooth.,"[{""name"": ""greek yogurt"", ""quantity"": ""170 g""}, {""name"": ""milk"", ""quantity"": ""200 ml""}, {""name"": ""small apple"", ""quantity"": ""1 piece""}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""ice"", ""quantity"": """"}]",true
Coffee-Banana Skyr Smoothie,280,24,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/coffee_banana_skyr_smoothie.jpg,Blend all ingredients until smooth and cold.,"[{""name"": ""skyr"", ""quantity"": ""150 g""}, {""name"": ""milk"", ""quantity"": ""150 ml""}, {""name"": ""cold espresso"", ""quantity"": ""100 ml""}, {""name"": ""small banana"", ""quantity"": ""1 piece""}, {""name"": ""ice"", ""quantity"": """"}, {""name"": ""cinnamon"", ""quantity"": """"}]",true
Blueberry Almond Yogurt Drink,330,24,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/blueberry_almond_yogurt_drink.jpg,Blend until creamy.,"[{""name"": ""greek yogurt"", ""quantity"": ""200 g""}, {""name"": ""blueberries"", ""quantity"": ""150 g""}, {""name"": ""milk"", ""quantity"": ""100 ml""}, {""name"": ""almond butter"", ""quantity"": ""10 g""}, {""name"": ""ice"", ""quantity"": """"}]",true
Peach Skyr Smoothie,250,24,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/peach_skyr_smoothie.jpg,Blend until silky smooth.,"[{""name"": ""skyr"", ""quantity"": ""180 g""}, {""name"": ""peach"", ""quantity"": ""150 g""}, {""name"": ""milk"", ""quantity"": ""150 ml""}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""ice"", ""quantity"": """"}]",true
Hot Vanilla Milk & Skyr Drink,210,18,,,1,drink,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/hot_vanilla_milk_skyr_drink.jpg,"Warm milk without boiling. Whisk skyr separately. Let milk cool slightly. Whisk in skyr, vanilla, cinnamon and honey. Serve warm.","[{""name"": ""semi-skimmed milk"", ""quantity"": ""200 ml""}, {""name"": ""skyr"", ""quantity"": ""100 g""}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""honey"", ""quantity"": ""1 tsp""}]",true
