name,description,mealType,portions,calories,protein,carbs,fat,nutriScore,ingredients,image_description
Risotto d'Épeautre au Potimarron et Noisettes Rôties,"Petit épeautre cuit crémeux avec purée de potimarron, dés de courge et noisettes concassées.",dinner,2,440,14,58,17,A,120g sec Petit épeautre; 200g Purée de potimarron; 20g Noisettes torréfiées; 25g Parmesan,A warm golden pumpkin spelt risotto sprinkled with crunchy toasted hazelnut pieces and fresh parsley.
Filet de St-Pierre Poêlé et Fondue de Poireaux,Poisson noble cuit à la poêle servi sur un lit de poireaux fondants à la crème et citron.,dinner,2,390,36,12,21,A,260g Filets de Saint-Pierre; 350g Poireaux; 50ml Crème fraîche 15%; 10g Beurre,Pan-fried white fish fillet placed delicately on top of creamed melted leeks on a elegant porcelain plate.
Chili Doux à la Viande de Bœuf et Haricots Rouges,"Mijoté réconfortant de bœuf haché, haricots rouges, maïs et tomates doucement épicés.",dinner,2,480,36,44,18,A,220g Bœuf haché 5%; 200g Haricots rouges cuits; 200g Tomates concassées; 60g Maïs; 1 bouquet Coriandre fraîche,"A steaming bowl of mild beef chili with red kidney beans, sweet corn, fresh coriander, and a dollop of sour cream."
Gratin de Pâtes au Poulet et Brocoli,"Pâtes rigatoni mélangées à des morceaux de poulet rôti, fleurettes de brocoli et béchamel allégée.",dinner,2,510,34,52,18,A,120g sec Pâtes rigatoni; 180g Filet de poulet cuit; 200g Brocoli; 120g Béchamel et emmental,"A golden pasta bake with rigatoni, green broccoli florets, and chicken pieces under melted golden cheese."
Poêlée de Saint-Jacques à la Crème d'Ail et Riz,"Noix de Saint-Jacques poêlées au beurre, nappées d'une sauce crème à l'ail doux et persil avec riz.",dinner,2,430,28,38,18,A,200g Noix de Saint-Jacques; 60ml Crème fraîche 15%; 2 Gousses d'ail; 100g sec Riz basmati,Pan-seared sea scallops with golden crusts resting in garlic cream sauce alongside a dome of white rice.
Tajine de Poulet aux Citrons Confits et Olives,"Cuisses de poulet mijotées dans un plat en terre avec citrons confits, olives vertes et gingembre.",dinner,2,510,40,18,29,A,2 Cuisses de poulet; 1 Citrons confits; 50g Olives vertes; 150g Oignons & épices tajine,An authentic Moroccan-style chicken tagine served in a conical clay vessel with preserved lemons and green olives.
Tartine de Champignons Sauvages et Œuf Poché,"Grandes tranches de pain de campagne poêlées, poêlée de champignons de bois et œuf poché.",dinner,2,370,16,34,19,A,"100g Pain de campagne; 200g Champignons mélangés (girolles, de paris); 2 Œufs; 2 c. à soupe Ail et persil","Sourdough toast laden with sautéed wild chanterelle mushrooms, garnished with a dripping poached egg."
Curry de Légumes d'Hiver et Lait de Coco,"Potimarron, carottes et pois chiches mijotés dans un lait de coco doux au curry jaune doux.",dinner,2,420,14,52,18,A,300g Potimarron & carottes; 150g Pois chiches cuits; 200ml Lait de coco light; 1 c. à soupe Pâte de curry doux,"A colorful vegetable curry with orange squash cubes, chickpea grains, and creamy coconut sauce in a white bowl."
Cannelloni Farcis à la Ricotta et Épinards,"Pâtes cannelloni garnies d'épinards tombés au beurre et ricotta, cuites sous un coulis de tomate.",dinner,2,460,20,48,21,A,8 Cannelloni; 300g Épinards frais; 150g Ricotta; 200g Coulis de tomate maison; 40g Mozzarella,"Baked pasta tubes stuffed with green spinach and white ricotta cheese, topped with tomato sauce and melted mozzarella."
Truite Meunière et Pommes Vapeur au Persil,"Truite entière poêlée au beurre noisette et jus de citron, servie avec pommes de terre à l'anglaise.",dinner,2,480,36,24,28,A,2 Truite portion; 20g Beurre; 2 c. à soupe Jus de citron; 250g Pommes de terre,"Pan-fried whole trout served skin-on with lemon wedges, parsley, and tender boiled yellow potatoes."
"Soupe Veloutée de Potimarron, Châtaignes et Bacon de Bœuf","Velouté onctueux de potimarron aux châtaignes de l'Ardèche, garni d'éclats de bacon de bœuf grillé.",dinner,2,360,12,42,16,A,400g Potimarron; 100g Châtaignes cuites; 40g Bacon de bœuf grillé; 40ml Crème fraîche 15%,"A rich orange pumpkin and chestnut soup served in a bowl, sprinkled with crispy bits of fried beef bacon."
"Filet de Bœuf Poêlé, Sauce aux Échalotes et Haricots Verts","Pavé de filet de bœuf poêlé avec sauce réduction d'échalotes au bouillon, et haricots verts au beurre.",dinner,2,490,42,14,29,A,280g Pavé de filet de bœuf; 60g Échalotes hachées; 100ml Bouillon de bœuf reduce; 250g Haricots verts extra-fins; 15g Beurre,"Seared tenderloin beef steak topped with glossy reduced shallot sauce, served alongside steamed green beans."
Gratin de Choux-Fleurs et Sauce Béchamel,Fleurettes de chou-fleur tendres nappées d'une sauce béchamel maison et gratinées à la muscade.,dinner,2,380,16,26,24,A,500g Chou-fleur; 200ml Sauce béchamel; 40g Gruyère râpé; 1 pincée Noix de muscade,A comforting cauliflower gratin with a bubbly golden cheese surface baked in a dish.
Sablés Bretons Artisanaux,"Petits gâteaux secs traditionnels bretons au beurre demi-sel, friables et fondants.",snacks,2,220,3,26,12,C,60g Farine de blé; 35g Beurre demi-sel AOP; 25g Sucre; 1 Jaune d'œuf,Round golden-brown Breton shortbread cookies with traditional fork crosshatch patterns on a baking rack.
Fromage Blanc 20% aux Mûres et Miel,"Encas protéiné composé de fromage blanc onctueux, mûres sauvages et miel de fleurs.",snacks,2,180,12,22,4,A,200g Fromage blanc 20%; 80g Mûres fraîches; 15g Miel de fleurs,Fresh white fromage blanc in a small bowl topped with dark purple wild blackberries and a drizzle of honey.
Compote Pomme-Châtaigne de l'Ardèche,Dessert fruité et doux mariant la pomme purée et la crème de châtaigne traditionnelle.,snacks,2,160,1,38,1,A,200g Pommes; 30g Crème de châtaigne d'Ardèche,A small glass bowl filled with smooth beige apple and chestnut puree sprinkled with cinnamon.
Madeleines Traditionnelles à la Fleur d'Oranger,Petits gâteaux moelleux en forme de coquille parfumés à l'eau de fleur d'oranger.,snacks,2,210,4,26,10,C,50g Farine; 30g Beurre; 25g Sucre; 1 Œuf; 1 c. à café Fleur d'oranger,"Freshly baked golden French madeleines with their iconic bump, resting on a cooling rack."
Poire Pochée au Verjus et Cannelle,Poire entière pochée dans un sirop doux au verjus (jus de raisin vert) et bâton de cannelle.,snacks,2,140,1,34,0,A,2 Poires; 100ml Verjus; 20g Sucre; 1 Bâton de cannelle,"A poached pear upright on a dessert plate, shiny with sweet spice syrup reduction and cinnamon."
Tartine de Ricotta et Figues Séchées,Pain de seigle grillé tartiné de ricotta et surmonté de dés de figues moelleuses.,snacks,2,210,7,32,6,A,50g Pain de seigle; 40g Ricotta; 30g Figues séchées,Slice of rye toast spread with white ricotta and topped with sliced sweet dried figs.
Poignée d'Amandes Torréfiées et Noisettes,Mélange croquant d'amandes et noisettes françaises légèrement torréfiées au four.,snacks,2,200,7,6,18,A,20g Amandes décortiquées; 15g Noisettes,A small wooden bowl filled with roasted brown almonds and hazelnuts.
Muffin Léger aux Myrtilles et Avoine,Muffin maison élaboré avec de la farine d'avoine et garni de myrtilles fraîches.,snacks,2,190,5,28,7,B,40g Farine d'avoine; 40g Myrtilles; 30g Compote de pomme (liant); 1/2 Œuf,A golden oat blueberry muffin sitting on baking paper showing juicy baked blueberry bursts.
Flan Pâtissier Traditionnel (1 Tranche),Part de flan pâtissier vanillé à la texture ferme et crémeuse sur pâte brisée.,snacks,2,240,7,34,9,B,150ml Lait entier; 25g Sucre; 15g Maïzena; 1 Jaune d'œuf; 1/2 Gousse de vanille,A slice of classic French vanilla flan pastry with its iconic golden-brown baked top skin.
Yaourt de Brebis et Miel de Sapin des Vosges,Yaourt de brebis au goût typique surmonté d'une cuillère de miel de sapin foncé.,snacks,2,170,8,16,8,A,150g Yaourt de brebis; 15g Miel de sapin des Vosges,Creamy sheep's milk yogurt in a terra cotta pot drizzled with dark amber pine honey.
Bâtonnets de Concombre et Dips de Fromage Blanc aux Herbes,"Bâtonnets de concombre frais à tremper dans une sauce fromage blanc, ciboulette et aneth.",snacks,2,90,6,8,4,A,200g Concombre; 100g Fromage blanc 0%; 1 c. à soupe Aneth & ciboulette,Fresh green cucumber spears arranged around a ramekin of herb-flecked white yogurt dip.
Crêpe au Sucre de Canne et Citron,"Une crêpe fine de froment roulée, saupoudrée de sucre de canne et jus de citron.",snacks,2,180,4,28,6,B,35g Farine de froment; 70ml Lait; 10g Sucre de canne; 1 c. à café Jus de citron,A thin rolled French crepe dusted with fine brown sugar crystals on a white plate.
Carottes Râpées au Jus d'Orange et Raisins Secs,Encas rafraîchissant de carottes râpées assaisonnées d'un filet de jus d'orange et de raisins secs.,snacks,2,120,2,24,2,A,150g Carottes râpées; 2 c. à soupe Jus d'orange frais; 15g Raisins secs,A small bowl of shredded orange carrots mixed with plump raisins and citrus dressing.
Carré de Chocolat Noir 85% et Amandes,Deux carrés de chocolat noir pur beurre de cacao accompagnés de 5 amandes.,snacks,2,150,3,8,12,B,20g Chocolat noir 85%; 10g Amandes,Two dark chocolate squares resting beside whole raw almonds on a clean slate board.
Tartine de Pain de Campagne et Beurre Demi-Sel,Tranche de pain artisanale au levain surmontée d'une fine couche de beurre demi-sel de Baratte.,snacks,2,190,4,26,8,B,50g Pain de campagne au levain; 12g Beurre demi-sel de Baratte,Slice of crusty sourdough French countryside bread spread evenly with yellow salted butter.
Gaufre Liégeoise Légère,"Petite gaufre dorée aux grains de sucre, faite maison pour un goûter réconfortant.",snacks,2,230,4,32,10,C,50g Farine; 20g Beurre; 12g Sucre perlé; 30ml Lait,A thick waffle with pearl sugar pockets cooked to a rich caramelized golden shade.
"Smoothie Banane, Lait d'Avoine et Cacao","Boisson fouettée onctueuse à la banane, lait d'avoine sans sucre et poudre de cacao brut.",snacks,2,180,5,34,3,A,1 Banane mûre; 200ml Lait d'avoine; 1 c. à café Cacao en poudre 100%,A glass smoothie with light chocolate color topped with a sprinkle of cocoa powder and banana slice.
Clafoutis Léger aux Cerises,Petite part de clafoutis traditionnel aux cerises fraîches sur un appareil léger.,snacks,2,190,5,30,5,B,100g Cerises; 60ml Lait; 25g Farine; 1/2 Œuf; 10g Sucre,A slice of baked French cherry clafoutis showing whole dark red cherries embedded in golden custard.
Pomme Cuite au Four à la Cannelle et Noix,Pomme au four fondante garnie de cerneaux de noix et de cannelle moulue.,snacks,2,150,2,28,5,A,1 grande Pomme Gala; 10g Cerneaux de noix hachés; 1/2 c. à café Cannelle,"A tender baked whole apple with soft wrinkled skin, overflowing with crushed walnuts and aromatic spices."
Financier aux Amandes,Petit gâteau moelleux traditionnel allongé à la poudre d'amandes et beurre noisette.,snacks,2,210,4,20,13,C,20g Poudre d'amandes; 20g Beurre; 20g Sucre glace; 1 Blanc d'œuf,An almond financier pastry with a golden-brown top crust sitting on parchment paper.
Tartine de Caviar d'Aubergine,Pain complet grillé nappé de caviar d'aubergine au citron et ail rôti.,snacks,2,130,4,20,4,A,40g Pain complet; 50g Caviar d'aubergine maison,Toasted whole grain bread spread with savory dark eggplant caviar spread.
Chips de Pommes Maison au Four,Rondelles de pommes séchées et croustillantes cuites au four sans sucre ajouté.,snacks,2,110,1,26,0,A,200g Pommes bio,Crispy thin slices of dried apple chips piled in a small parchment paper cone.
Fromage de Chèvre Frais sur Pain aux Noix,Rondelle de fromage de chèvre frais servie sur une tranche de pain aux noix.,snacks,2,190,7,18,10,A,40g Pain aux noix; 30g Chèvre frais,A slice of walnut bread topped with fresh white goat cheese and a small thyme sprig.
Salade de Fraises au Basilic et Sirop d'Agave,"Fraises fraîches coupées, marinées avec du basilic ciselé et une goutte de sirop d'agave.",snacks,2,90,1,20,0,A,150g Fraises gariguettes; 3 feuilles Basilic frais; 5g Sirop d'agave,Bright red Gariguette strawberry slices in a glass cup garnished with vibrant green chopped basil.
Gâteau de Semoule à la Vanille et Raisins,Petit ramequin de gâteau de semoule traditionnel au lait parfumé à la vanille et raisins secs.,snacks,2,180,6,32,3,A,30g Semoule fine de blé; 150ml Lait; 15g Raisins secs; 10g Sucre,Unmolded small semolina cake pudding studded with raisins on a small dessert plate.
Roulé de Dinde au Fromage Frais et Ciboulette,Encas salé hyper-protéiné constitué d'une tranche de dinde roulée autour de fromage frais.,snacks,2,110,14,2,5,A,60g Jambon de dinde; 30g Fromage frais 0%; 1 c. à café Ciboulette,Two turkey slice rolls filled with light herb cheese cut on a wooden cutting board.
Pouding de Chia au Lait de Coco et Mango,"Graines de chia gonflées dans du lait de coco léger, surmontées de dés de mangue fraîche.",snacks,2,170,4,22,8,A,20g Graines de chia; 100ml Lait de coco light; 60g Mangue,Glass jar filled with white chia pudding topped with bright orange fresh mango cubes.
Biscotte au Seigle et Purée d'Amande,Biscotte de seigle croustillante tartinée de purée d'amande complète 100%.,snacks,2,160,5,18,8,A,2 Biscotte de seigle; 15g Purée d'amande complète,Two crispy rye crackers spread with smooth natural almond butter.
Tartine de Tapenade Noire et Tomates Séchées,Pain de campagne toasté nappé de tapenade d'olives noires et morceaux de tomates séchées.,snacks,2,170,3,20,9,B,40g Pain de campagne; 20g Tapenade d'olives noires; 10g Tomates séchées,Toasted French bread spread with rich black olive tapenade and topped with sun-dried tomato pieces.
Kéfir de Lait et Pêche Fraîche,Verre de kéfir de lait fermenté rafraîchissant servi avec une pêche fraîche tranchée.,snacks,2,130,6,18,3,A,150ml Kéfir de lait; 1 Pêche fraîche,A glass of cold white milk kefir next to a bowl of fresh yellow peach slices.
